nombre,codigo_barra,categoria,fecha_caducidad,marca,precio,stock
Pan_0,00001,Cat1,2026-01-01,Marca1,58.13,154
Leche_1,00002,Cat2,2026-02-02,Marca2,40.62,71
Arroz_2,00003,Cat3,2026-03-03,Marca3,7.03,119
Frijol_3,00004,Cat4,2026-04-04,Marca4,47.86,66
Azucar_4,00005,Cat5,2026-05-05,Marca5,10.36,57
Cafe_5,00006,Cat6,2026-06-06,Marca6,39.05,193
Te_6,00007,Cat7,2026-07-07,Marca7,76.22,151
Jugo_7,00008,Cat8,2026-08-08,Marca1,38.5,21
Agua_8,00009,Cat9,2026-09-09,Marca2,38.02,1
Galletas_9,00010,Cat10,2026-10-10,Marca3,84.45,9
Chocolate_10,00011,Cat11,2026-11-11,Marca4,28.7,31
Cereal_11,00012,Cat12,2026-12-12,Marca5,16.15,2
Miel_12,00013,Cat13,2026-01-13,Marca6,56.18,6
Huevos_13,00014,Cat14,2026-02-14,Marca7,38.19,22
Queso_14,00015,Cat15,2026-03-15,Marca1,79.99,190
Yogurt_15,00016,Cat1,2026-04-16,Marca2,91.63,64
Mantequilla_16,00017,Cat2,2026-05-17,Marca3,40.55,146
Harina_17,00018,Cat3,2026-06-18,Marca4,67.9,53
Sal_18,00019,Cat4,2026-07-19,Marca5,30.09,119
Aceite_19,00020,Cat5,2026-08-20,Marca6,87.27,101
Soda_20,00021,Cat6,2026-09-21,Marca7,78.22,102
Atun_21,00022,Cat7,2026-10-22,Marca1,44.14,100
Sopa_22,00023,Cat8,2026-11-23,Marca2,7.4,193
Pasta_23,00024,Cat9,2026-12-24,Marca3,37.66,93
Mayonesa_24,00025,Cat10,2026-01-25,Marca4,43.81,105
Ketchup_25,00026,Cat11,2026-02-26,Marca5,44.81,18
Mostaza_26,00027,Cat12,2026-03-27,Marca6,24.37,105
Vinagre_27,00028,Cat13,2026-04-28,Marca7,72.94,142
Avena_28,00029,Cat14,2026-05-01,Marca1,83.78,48
Granola_29,00030,Cat15,2026-06-02,Marca2,44.27,65
Helado_30,00031,Cat1,2026-07-03,Marca3,70.73,97
Pizza_31,00032,Cat2,2026-08-04,Marca4,35.19,77
Hamburguesa_32,00033,Cat3,2026-09-05,Marca5,22.79,44
Pollo_33,00034,Cat4,2026-10-06,Marca6,57.46,184
Carne_34,00035,Cat5,2026-11-07,Marca7,80.81,18
Pescado_35,00036,Cat6,2026-12-08,Marca1,1.75,7
Mariscos_36,00037,Cat7,2026-01-09,Marca2,22.09,19
Tortillas_37,00038,Cat8,2026-02-10,Marca3,61.45,158
Empanadas_38,00039,Cat9,2026-03-11,Marca4,47.05,165
Tamales_39,00040,Cat10,2026-04-12,Marca5,94.91,39
Chorizo_40,00041,Cat11,2026-05-13,Marca6,69.08,176
Jamón_41,00042,Cat12,2026-06-14,Marca7,16.64,40
Salchichas_42,00043,Cat13,2026-07-15,Marca1,94.13,55
Refresco_43,00044,Cat14,2026-08-16,Marca2,41.59,181
Energizante_44,00045,Cat15,2026-09-17,Marca3,42.54,173
AguaMineral_45,00046,Cat1,2026-10-18,Marca4,71.79,115
TéFrío_46,00047,Cat2,2026-11-19,Marca5,73.41,156
Batido_47,00048,Cat3,2026-12-20,Marca6,84.37,200
Licor_48,00049,Cat4,2026-01-21,Marca7,69.55,36
Cerveza_49,00050,Cat5,2026-02-22,Marca1,54.02,21
Vino_50,00051,Cat6,2026-03-23,Marca2,27.08,30
Whisky_51,00052,Cat7,2026-04-24,Marca3,74.49,89
Ron_52,00053,Cat8,2026-05-25,Marca4,17.11,187
Vodka_53,00054,Cat9,2026-06-26,Marca5,40.6,156
Ginebra_54,00055,Cat10,2026-07-27,Marca6,20.26,131
Pan_55,00056,Cat11,2026-08-28,Marca7,35.11,127
Leche_56,00057,Cat12,2026-09-01,Marca1,72.23,144
Arroz_57,00058,Cat13,2026-10-02,Marca2,11.68,14
Frijol_58,00059,Cat14,2026-11-03,Marca3,27.54,43
Azucar_59,00060,Cat15,2026-12-04,Marca4,85.1,55
Cafe_60,00061,Cat1,2026-01-05,Marca5,25.57,53
Te_61,00062,Cat2,2026-02-06,Marca6,46.23,40
Jugo_62,00063,Cat3,2026-03-07,Marca7,10.92,193
Agua_63,00064,Cat4,2026-04-08,Marca1,58.71,33
Galletas_64,00065,Cat5,2026-05-09,Marca2,76.04,1
Chocolate_65,00066,Cat6,2026-06-10,Marca3,89.06,88
Cereal_66,00067,Cat7,2026-07-11,Marca4,83.98,113
Miel_67,00068,Cat8,2026-08-12,Marca5,94.47,94
Huevos_68,00069,Cat9,2026-09-13,Marca6,16.81,200
Queso_69,00070,Cat10,2026-10-14,Marca7,96.92,104
Yogurt_70,00071,Cat11,2026-11-15,Marca1,33.93,173
Mantequilla_71,00072,Cat12,2026-12-16,Marca2,60.3,54
Harina_72,00073,Cat13,2026-01-17,Marca3,15.88,92
Sal_73,00074,Cat14,2026-02-18,Marca4,36.09,123
Aceite_74,00075,Cat15,2026-03-19,Marca5,55.93,171
Soda_75,00076,Cat1,2026-04-20,Marca6,71.76,86
Atun_76,00077,Cat2,2026-05-21,Marca7,24.82,12
Sopa_77,00078,Cat3,2026-06-22,Marca1,38.97,57
Pasta_78,00079,Cat4,2026-07-23,Marca2,59.98,66
Mayonesa_79,00080,Cat5,2026-08-24,Marca3,14.88,154
Ketchup_80,00081,Cat6,2026-09-25,Marca4,26.18,106
Mostaza_81,00082,Cat7,2026-10-26,Marca5,62.05,86
Vinagre_82,00083,Cat8,2026-11-27,Marca6,50.52,88
Avena_83,00084,Cat9,2026-12-28,Marca7,74.81,91
Granola_84,00085,Cat10,2026-01-01,Marca1,20.28,12
Helado_85,00086,Cat11,2026-02-02,Marca2,97.12,141
Pizza_86,00087,Cat12,2026-03-03,Marca3,84.45,175
Hamburguesa_87,00088,Cat13,2026-04-04,Marca4,16.67,86
Pollo_88,00089,Cat14,2026-05-05,Marca5,6.32,108
Carne_89,00090,Cat15,2026-06-06,Marca6,59.86,99
Pescado_90,00091,Cat1,2026-07-07,Marca7,79.02,6
Mariscos_91,00092,Cat2,2026-08-08,Marca1,2.55,158
Tortillas_92,00093,Cat3,2026-09-09,Marca2,72.79,51
Empanadas_93,00094,Cat4,2026-10-10,Marca3,75.6,67
Tamales_94,00095,Cat5,2026-11-11,Marca4,50.33,18
Chorizo_95,00096,Cat6,2026-12-12,Marca5,73.97,168
Jamón_96,00097,Cat7,2026-01-13,Marca6,44.27,5
Salchichas_97,00098,Cat8,2026-02-14,Marca7,24.05,48
Refresco_98,00099,Cat9,2026-03-15,Marca1,80.67,104
Energizante_99,00100,Cat10,2026-04-16,Marca2,50.44,148
AguaMineral_100,00101,Cat11,2026-05-17,Marca3,49.35,137
TéFrío_101,00102,Cat12,2026-06-18,Marca4,86.57,182
Batido_102,00103,Cat13,2026-07-19,Marca5,44.16,125
Licor_103,00104,Cat14,2026-08-20,Marca6,33.88,124
Cerveza_104,00105,Cat15,2026-09-21,Marca7,64.94,127
Vino_105,00106,Cat1,2026-10-22,Marca1,27.99,19
Whisky_106,00107,Cat2,2026-11-23,Marca2,70.41,57
